Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
DeAndre' Bembry,SG,25,ATL,43,4,21.3,2.4,5.3,.456,0.3,1.5,.231,2.1,3.8,.546,.489,0.6,1.1,.542,0.8,2.7,3.5,1.9,1.3,0.4,1.4,2.0,5.8
Jordan Bone,PG,22,DET,10,0,5.3,0.5,2.0,.250,0.2,1.0,.200,0.3,1.0,.300,.300,0.0,0.0,0,0.0,0.4,0.4,0.8,0.1,0.0,0.2,0.6,1.2
Bruce Brown,PG,23,DET,58,43,28.2,3.4,7.7,.443,0.6,1.7,.344,2.8,6.1,.470,.480,1.5,2.1,.739,1.1,3.7,4.7,4.0,1.1,0.5,1.7,2.8,8.9
Charlie Brown,SG,22,ATL,10,0,4.0,0.6,1.9,.316,0.3,0.9,.333,0.3,1.0,.300,.395,0.5,0.5,1.000,0.2,0.2,0.4,0.2,0.2,0.2,0.3,0.3,2.0
Vince Carter,PF,43,ATL,60,0,14.6,1.8,5.1,.352,1.0,3.4,.302,0.8,1.7,.451,.452,0.4,0.5,.793,0.3,1.8,2.1,0.8,0.4,0.4,0.6,1.5,5.0
John Collins,PF,22,ATL,41,41,33.2,8.6,14.8,.583,1.4,3.6,.401,7.2,11.2,.642,.632,2.9,3.7,.800,2.8,7.3,10.1,1.5,0.8,1.6,1.8,3.4,21.6
Allen Crabbe,SG,27,ATL,28,1,18.6,1.9,5.1,.364,1.1,3.3,.323,0.8,1.8,.440,.469,0.3,0.4,.750,0.4,2.0,2.3,1.0,0.5,0.1,0.4,1.3,5.1
Dewayne Dedmon,C,30,ATL,10,8,23.3,3.3,8.4,.393,0.8,3.6,.222,2.5,4.8,.521,.440,0.7,0.8,.875,1.4,6.8,8.2,0.7,1.0,1.5,1.0,4.0,8.1
Sekou Doumbouya,PF,19,DET,38,19,19.8,2.4,6.2,.390,0.7,2.6,.286,1.7,3.6,.464,.449,0.8,1.2,.674,0.5,2.6,3.1,0.5,0.5,0.2,0.9,2.1,6.4
Andre Drummond,C,26,DET,49,48,33.8,7.3,13.9,.530,0.0,0.4,.048,7.3,13.4,.546,.531,3.0,5.2,.584,4.6,11.2,15.8,2.8,2.0,1.7,3.6,3.6,17.8
Bruno Fernando,C,21,ATL,56,13,12.7,1.8,3.6,.518,0.1,0.7,.135,1.8,2.9,.605,.530,0.5,0.9,.569,1.2,2.3,3.5,0.9,0.3,0.3,0.8,1.9,4.3
Tim Frazier,PG,29,DET,27,11,13.1,1.3,3.5,.362,0.4,1.1,.333,0.9,2.4,.375,.415,0.7,0.9,.792,0.3,0.9,1.2,3.4,0.5,0.1,1.3,1.6,3.6
Langston Galloway,SG,28,DET,66,6,25.8,3.6,8.2,.435,2.0,5.0,.399,1.6,3.2,.493,.557,1.1,1.3,.859,0.5,1.8,2.3,1.5,0.7,0.2,0.6,1.5,10.3
Brandon Goodwin,PG,24,ATL,34,1,12.6,2.2,5.6,.400,0.8,2.6,.299,1.5,3.0,.485,.468,0.8,0.9,.933,0.3,1.8,2.1,1.5,0.4,0.1,0.9,1.3,6.1
Treveon Graham,SF,26,ATL,22,0,12.1,1.1,3.0,.373,0.6,1.7,.351,0.5,1.4,.400,.470,0.4,0.9,.474,1.0,1.3,2.3,0.7,0.3,0.2,0.5,1.6,3.3
Blake Griffin,PF,30,DET,18,18,28.4,4.9,13.9,.352,1.5,6.2,.243,3.4,7.7,.439,.406,4.2,5.4,.776,0.9,3.7,4.7,3.3,0.4,0.4,2.2,1.5,15.5
Donta Hall,PF,22,DET,4,0,12.0,0.3,1.0,.250,0.0,0.0,0,0.3,1.0,.250,.250,1.0,1.5,.667,1.5,2.3,3.8,0.5,0.3,0.3,0.5,2.3,1.5
John Henson,C,29,DET,11,6,17.1,3.1,4.6,.667,0.2,0.5,.400,2.9,4.2,.696,.686,0.5,1.2,.462,1.3,3.1,4.4,1.0,0.7,0.9,1.4,2.1,6.9
Kevin Huerter,SG,21,ATL,56,48,31.4,4.5,10.9,.413,2.3,6.0,.380,2.2,4.9,.453,.517,0.9,1.1,.828,0.6,3.4,4.1,3.8,0.9,0.5,1.6,2.5,12.2
De'Andre Hunter,SF,22,ATL,63,62,32.0,4.4,10.8,.410,1.7,4.8,.355,2.7,6.0,.454,.489,1.7,2.3,.764,0.7,3.8,4.5,1.8,0.7,0.3,1.6,2.9,12.3
Reggie Jackson,PG,29,DET,14,10,27.2,5.4,14.1,.384,2.2,5.9,.378,3.2,8.3,.388,.462,1.9,2.4,.788,0.8,2.1,2.9,5.1,0.6,0.1,1.6,1.5,14.9
Damian Jones,C,24,ATL,55,27,16.1,2.2,3.2,.680,0.0,0.2,.222,2.2,3.1,.704,.685,1.1,1.5,.738,1.3,2.4,3.7,0.6,0.5,0.7,0.5,2.7,5.6
Luke Kennard,SG,23,DET,28,25,32.9,5.4,12.2,.442,2.6,6.5,.399,2.8,5.7,.491,.548,2.4,2.7,.893,0.3,3.2,3.5,4.1,0.4,0.2,1.5,2.3,15.8
Louis King,SF,20,DET,10,0,6.2,0.8,2.1,.381,0.4,1.1,.364,0.4,1.0,.400,.476,0.0,0.3,.000,0.1,0.9,1.0,0.5,0.2,0.0,0.2,1.0,2.0
Brandon Knight,PG,28,DET,9,3,24.6,3.4,9.0,.383,2.9,7.4,.388,0.6,1.6,.357,.543,1.8,2.3,.762,0.1,2.2,2.3,4.2,0.6,0.1,2.4,2.2,11.6
Alex Len,C,26,ATL,40,9,18.6,3.6,6.5,.546,0.4,1.4,.250,3.2,5.1,.627,.573,1.3,2.0,.630,1.7,4.0,5.8,1.1,0.5,0.8,1.0,2.3,8.7
Thon Maker,C,22,DET,60,14,12.9,1.6,3.2,.482,0.4,1.1,.344,1.2,2.2,.550,.539,1.2,1.8,.664,0.9,1.9,2.8,0.7,0.4,0.7,0.8,1.7,4.7
Jordan McRae,SG,28,DET,4,0,24.5,3.5,10.8,.326,0.8,4.0,.188,2.8,6.8,.407,.360,4.0,5.5,.727,0.0,3.8,3.8,1.8,0.0,0.0,1.3,2.5,11.8
Markieff Morris,PF,30,DET,44,16,22.5,4.0,8.8,.450,1.7,4.3,.397,2.3,4.5,.500,.546,1.4,1.8,.772,0.5,3.4,3.9,1.6,0.6,0.3,1.6,2.4,11.0
Sviatoslav Mykhailiuk,SF,22,DET,56,27,22.6,3.0,7.2,.410,2.1,5.1,.404,0.9,2.1,.425,.552,1.0,1.3,.814,0.3,1.6,1.9,1.9,0.7,0.1,1.1,1.6,9.0
Jabari Parker,PF,24,ATL,32,23,26.2,6.2,12.3,.504,1.0,3.6,.270,5.2,8.7,.601,.543,1.7,2.3,.736,1.7,4.3,6.0,1.8,1.3,0.5,1.9,2.9,15.0
Chandler Parsons,PF,31,ATL,5,0,10.8,1.0,3.6,.278,0.8,2.8,.286,0.2,0.8,.250,.389,0.0,0.0,0,0.2,1.2,1.4,0.6,0.8,0.2,0.6,0.6,2.8
Cam Reddish,SF,20,ATL,58,34,26.7,3.7,9.6,.384,1.4,4.3,.332,2.2,5.2,.428,.459,1.7,2.2,.802,0.6,3.1,3.7,1.5,1.1,0.5,1.7,2.3,10.5
Derrick Rose,PG,31,DET,50,15,26.0,7.4,15.1,.490,0.9,2.9,.306,6.5,12.1,.535,.520,2.4,2.8,.871,0.5,1.9,2.4,5.6,0.8,0.3,2.5,1.0,18.1
Tony Snell,SF,28,DET,59,57,27.8,2.9,6.5,.445,1.7,4.3,.402,1.2,2.2,.531,.579,0.5,0.5,1.000,0.2,1.7,1.9,2.2,0.5,0.3,0.5,1.7,8.0
Jeff Teague,PG,31,ATL,25,4,20.8,2.7,6.6,.412,0.4,1.2,.333,2.3,5.4,.430,.442,1.9,2.1,.887,0.5,1.7,2.2,4.0,0.8,0.2,1.6,1.4,7.7
Khyri Thomas,SG,23,DET,8,0,7.6,0.6,2.1,.294,0.6,1.8,.357,0.0,0.4,.000,.441,0.3,0.5,.500,0.1,0.0,0.1,0.4,0.4,0.0,0.4,1.1,2.1
Evan Turner,SG,31,ATL,19,0,13.2,1.3,3.5,.373,0.0,0.3,.000,1.3,3.3,.403,.373,0.6,0.7,.857,0.4,1.6,2.0,2.0,0.5,0.4,1.4,1.1,3.3
Tyrone Wallace,SG,25,ATL,14,0,11.4,1.0,3.1,.318,0.1,1.1,.067,0.9,2.1,.448,.330,0.8,1.2,.647,0.2,1.4,1.6,0.9,0.5,0.1,0.7,1.4,2.9
Derrick Walton,PG,24,DET,3,0,8.7,0.3,1.0,.333,0.3,1.0,.333,0.0,0.0,0,.500,0.0,0.0,0,0.0,0.3,0.3,1.7,1.0,0.0,0.3,0.7,1.0
Paul Watson,SF,25,ATL,2,0,8.5,0.0,3.5,.000,0.0,1.5,.000,0.0,2.0,.000,.000,0.0,0.0,0,0.0,1.0,1.0,1.5,0.5,0.0,0.0,0.5,0.0
Christian Wood,PF,24,DET,62,12,21.4,4.6,8.2,.567,0.9,2.3,.386,3.8,5.9,.636,.620,2.9,3.9,.744,1.7,4.6,6.3,1.0,0.5,0.9,1.4,1.6,13.1
Trae Young,PG,21,ATL,60,60,35.3,9.1,20.8,.437,3.4,9.5,.361,5.7,11.4,.501,.519,8.0,9.3,.860,0.5,3.7,4.3,9.3,1.1,0.1,4.8,1.7,29.6
